,Unnamed: 0,ARTCLASS,ARTDESCRIP,BLOCKNBR,COMPKEY,DIRHI,DIRLO,FID,FLOW,INTKEYLO,INTRHI,INTRLO,NATIONHWYS,OBJECTID,ONEWAY,ONEWAYDIR,OWNER,PVMTCATEGO,PVMTCONDIN,PVMTCOND_1,SEGDIR,SEGLENGTH,SHAPE,SHAPE_Leng,SLOPE_PCT,SPEEDLIMIT,STATUS,STNAME_ORD,STREETTYPE,SURFACETYP,SURFACET_1,SURFACEWID,Shape__Length,TRANCLASS,TRANDESCRI,UNITDESC,UNITIDSORT,XSTRHI,XSTRLO
14271,14271,0,Not Designated,600,12253,SE,NW,14272, ,30358,COLUMBIA ST AND POST AVE,POST AVE AND YESLER WAY,N,15865,N, , ,NON-ART,0,0,NW,519.0,"{'paths': [[[-13618256.5156388, 6040849.7099444], [-13618256.2515123, 6040945.90514725], [-13618296.6676226, 6041012.34324229], [-13618298.1532299, 6041014.78540843], [-13618323.7736534, 6041056.90126337], [-13618328.1758559, 6041064.13776665]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",518.551898450308,0,20,INSVC,POST AVE,Alley,AC, ,0,234.586545992969,0,NOT DESIGNATED,POST AVE BETWEEN YESLER WAY AND COLUMBIA ST,092350060,COLUMBIA ST,YESLER WAY
14275,14275,0,Not Designated,1600,12987,S,N,14276, ,29860,SUMMIT AVE AND E OLIVE ST,SUMMIT AVE AND E PINE ST,N,15869,N, , ,NON-ART,23,0,N,410.0,"{'paths': [[[-13617215.5815429, 6043078.01283037], [-13617217.1627343, 6043263.46012445]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",409.639930371182,1,20,INSVC,SUMMIT AVE,Urban Village Neighborhood Access,AC, ,40,185.454034861655,0,NOT DESIGNATED,SUMMIT AVE BETWEEN E PINE ST AND E OLIVE ST,098750160,E OLIVE ST,E PINE ST
14276,14276,0,Not Designated,1000,13108,SE,NW,14277, ,29924,SPRING ST AND TERRY AVE,MADISON ST AND TERRY AVE,N,15870,N, , ,NON-ART,3,0,NW,306.0,"{'paths': [[[-13617295.8193424, 6042030.22501152], [-13617368.4421943, 6042148.11521109]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.1414776127,2,20,INSVC,TERRY AVE,Urban Village Neighborhood Access,AC, ,28,138.46363339624398,0,NOT DESIGNATED,TERRY AVE BETWEEN MADISON ST AND SPRING ST,100400100,SPRING ST,MADISON ST
14284,14284,2,Minor Arterial,1400,14640,W,E,14285, ,29742,15TH AVE AND E PINE ST,14TH AVE AND E PINE ST,N,15878,N, , ,ART,77,0,E,364.0,"{'paths': [[[-13615959.1779326, 6043088.45847866], [-13615794.8561961, 6043089.28963166]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",364.081461145963,8,25,INSVC,E PINE ST,Urban Village Neighborhood,AC/PCC, ,42,164.32383851602,2,MAJOR TRANSIT ROUTE,E PINE ST BETWEEN 14TH AVE AND 15TH AVE,114800140,15TH AVE,14TH AVE
14370,14370,0,Not Designated,4500,5934,N,S,14371, ,31915,38TH AVE SW AND SW ALASKA ST,38TH AVE SW AND FAUNTLEROY WAY SW,N,15964,N, , ,NON-ART,78,0,S,429.0,"{'paths': [[[-13623289.6048966, 6034336.52897986], [-13623286.2862307, 6034142.70573474]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",428.631851199869,3,20,INSVC,38TH AVE SW,Urban Village Neighborhood Access,PCC, ,36,193.851654349577,0,NOT DESIGNATED,38TH AVE SW BETWEEN FAUNTLEROY WAY SW AND SW ALASKA ST,029850452,SW ALASKA ST,FAUNTLEROY WAY SW
14377,14377,2,Minor Arterial,1900,7242,SE,NW,14378,T,29556,5TH AVE AND VIRGINIA ST,5TH AVE AND STEWART ST,N,15971,Y,SE, ,ART,75,0,NW,426.0,"{'paths': [[[-13618589.7801879, 6042704.73319427], [-13618734.5060197, 6042831.68582123]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.995739829412,1,25,INSVC,5TH AVE,Downtown Neighborhood,AC/PCC, ,40,192.51632627288,2,MAJOR TRANSIT ROUTE,5TH AVE BETWEEN STEWART ST AND VIRGINIA ST,038850190,VIRGINIA ST,STEWART ST
14384,14384,2,Minor Arterial,1000,8516,SE,NW,14385, ,29925,9TH AVE AND SPRING ST,9TH AVE AND MADISON ST,N,15978,N, , ,ART,59,0,NW,306.0,"{'paths': [[[-13617419.5376599, 6041953.49511463], [-13617492.1364202, 6042071.33803932]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.027293759187,6,25,INSVC,9TH AVE,Urban Village Neighborhood,AC/PCC, ,40,138.41074701067,3,MINOR TRANSIT ROUTE,9TH AVE BETWEEN MADISON ST AND SPRING ST,048900100,SPRING ST,MADISON ST
14396,14396,0,Not Designated,700,10835,W,E,14397, ,28784,DEXTER AVE N AND HARRISON ST,AURORA AVE N AND HARRISON ST,N,15990,N, , ,NON-ART,0,0,E,321.0,"{'paths': [[[-13619235.6045856, 6044207.9640097], [-13619216.1947947, 6044207.85156396], [-13619090.5073814, 6044207.12390385]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.445810067031,2,20,INSVC,HARRISON ST,Urban Village Neighborhood Access,AC/PCC, ,0,145.099636235263,0,NOT DESIGNATED,HARRISON ST BETWEEN AURORA AVE N AND DEXTER AVE N,071800070,DEXTER AVE N,AURORA AVE N
14397,14397,0,Not Designated,700,11075,W,E,14398, ,28796,DEXTER AVE N AND JOHN ST,AURORA NB AVE N AND JOHN ST,N,15991,N, , ,NON-ART,54,0,E,275.0,"{'paths': [[[-13619216.7073705, 6043822.07875582], [-13619092.7478465, 6043821.30149001]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",274.630884966765,2,20,INSVC,JOHN ST,Urban Village Neighborhood Access,PCC, ,42,123.961960811818,4,LOCAL TRANSIT ROUTE,JOHN ST BETWEEN AURORA NB AVE N AND DEXTER AVE N,079000070,DEXTER AVE N,AURORA NB AVE N
14424,14424,0,Not Designated,700,11703,N,S,14425, ,30536,MAYNARD AVE S AND S DEARBORN ST,MAYNARD AVE S AND S LANE ST,N,15212,N, , ,NON-ART,52,0,S,306.0,"{'paths': [[[-13617163.9840439, 6040016.19955006], [-13617164.062573, 6039984.97931229], [-13617164.3312368, 6039877.69958538]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.040481797798,1,20,INSVC,MAYNARD AVE S,Downtown Neighborhood Access,AC, ,42,138.50039985625799,0,NOT DESIGNATED,MAYNARD AVE S BETWEEN S LANE ST AND S DEARBORN ST,085250070,S DEARBORN ST,S LANE ST
14428,14428,0,Not Designated,200,11886,S,N,14429, ,29150,MINOR AVE N AND THOMAS ST,JOHN ST AND MINOR AVE N,N,15216,N, , ,NON-ART,10,0,N,420.0,"{'paths': [[[-13618045.0153475, 6043811.7817137], [-13618045.7525659, 6044001.97750286]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",420.08106026845803,2,20,INSVC,MINOR AVE N,Urban Village Neighborhood Access,AC, ,43,190.197217928584,0,NOT DESIGNATED,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,086750020,THOMAS ST,JOHN ST
14437,14437,1,Principal Arterial,100,12294,S,N,14438,T,28667,JOHN ST AND QUEEN ANNE AVE N,DENNY WAY AND QUEEN ANNE AVE N,N,15225,Y,S, ,ART,38,0,N,425.0,"{'paths': [[[-13620691.8059094, 6043637.56483106], [-13620690.7426358, 6043830.16143573]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.39550629756303,5,25,INSVC,QUEEN ANNE AVE N,Urban Village Main,PCC, ,40,192.59953966825802,2,MAJOR TRANSIT ROUTE,QUEEN ANNE AVE N BETWEEN DENNY WAY AND JOHN ST,093150010,JOHN ST,DENNY WAY
14446,14446,0,Not Designated,5400,12700,SE,NW,14447, ,25156,RUSSELL AVE NW AND NW MARKET ST,20TH AVE NW AND RUSSELL AVE NW,N,15234,N, , ,NON-ART,100,0,NW,388.0,"{'paths': [[[-13623516.5205581, 6051772.89934433], [-13623620.0717005, 6051903.33709414], [-13623620.0849943, 6051903.35388319], [-13623625.6766702, 6051910.3972264]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",387.851138927436,2,20,INSVC,RUSSELL AVE NW,Urban Village Neighborhood Access,AC/AC, ,46,175.558321874539,0,NOT DESIGNATED,RUSSELL AVE NW BETWEEN 20TH AVE NW AND NW MARKET ST,095400540,NW MARKET ST,20TH AVE NW
14449,14449,1,Principal Arterial,400,12863,SW,NE,14450,F,29949,5TH AVE AND SPRING ST,4TH AVE AND SPRING ST,N,15237,Y,NE, ,ART,19,0,NE,322.0,"{'paths': [[[-13618109.8342057, 6041688.09522702], [-13618103.7438092, 6041691.87687825], [-13617986.1841288, 6041764.87543961]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.260866097537,8,25,INSVC,SPRING ST,Downtown,AC/PCC, ,43,145.549107051831,3,MINOR TRANSIT ROUTE,SPRING ST BETWEEN 4TH AVE AND 5TH AVE,097350040,5TH AVE,4TH AVE
14451,14451,1,Principal Arterial,800,12905,SW,NE,14452,T,29539,9TH AVE AND STEWART ST,8TH AVE AND STEWART ST,Y,15239,Y,SW, ,ART,81,89,NE,322.0,"{'paths': [[[-13618302.7872737, 6043034.04858283], [-13618207.1576959, 6043143.69304619]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.790819082845,3,25,INSVC,STEWART ST,Downtown,AC/PCC,PCC,48,145.48857170586902,1,PRINCIPAL TRANSIT ROUTE,STEWART ST BETWEEN 8TH AVE AND 9TH AVE,098000080,9TH AVE,8TH AVE
14455,14455,0,Not Designated,200,13100,SE,NW,14456, ,30396,ALDER ST AND TERRY AVE,SPRUCE ST AND TERRY AVE,N,15243,N, , ,NON-ART,16,0,NW,306.0,"{'paths': [[[-13616715.104792, 6041087.48709031], [-13616787.716998, 6041205.30205223]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.021116053585,9,20,INSVC,TERRY AVE,Urban Village Neighborhood Access,AC, ,28,138.39399449286302,0,NOT DESIGNATED,TERRY AVE BETWEEN SPRUCE ST AND ALDER ST,100400020,ALDER ST,SPRUCE ST
14457,14457,0,Not Designated,1100,13187,SW,NE,14458, ,29891,MINOR AVE AND UNION ST,BOREN AVE AND UNION ST,N,15245,N, , ,NON-ART,26,0,NE,329.0,"{'paths': [[[-13617491.2259613, 6042624.4885305], [-13617366.4787149, 6042704.86906845]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",328.524661232837,5,20,INSVC,UNION ST,Urban Village Neighborhood Access,AC, ,28,148.40116701844,0,NOT DESIGNATED,UNION ST BETWEEN BOREN AVE AND MINOR AVE,101000110,MINOR AVE,BOREN AVE
14460,14460,2,Minor Arterial,500,13314,SW,NE,14461,F,29549,6TH AVE AND VIRGINIA ST,5TH AVE AND VIRGINIA ST,N,15248,Y,NE, ,ART,92,92,NE,322.0,"{'paths': [[[-13618734.5060197, 6042831.68582123], [-13618638.8571095, 6042941.38918715]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.92450421303903,6,25,INSVC,VIRGINIA ST,Downtown Neighborhood,AC/PCC,PCC,44,145.545671525789,2,MAJOR TRANSIT ROUTE,VIRGINIA ST BETWEEN 5TH AVE AND 6TH AVE,102500050,6TH AVE,5TH AVE
14465,14465,0,Not Designated,2400,13555,S,N,14466, ,28037,WESTLAKE EAST RDWY AVE N AND HALLADAY ST,WESTLAKE EAST RDWY AVE N AND MCGRAW ST,N,15253,N, , ,NON-ART,68,0,N,1048.0,"{'paths': [[[-13618990.5913793, 6047114.87340121], [-13619180.0616389, 6047551.34650254]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",1051.02574766688,0,20,INSVC,WESTLAKE EAST RDWY AVE N,Neighborhood Yield Street,AC/PCC, ,36,475.82323131669006,0,NOT DESIGNATED,WESTLAKE EAST RDWY AVE N BETWEEN MCGRAW ST AND HALLADAY ST,104450240,HALLADAY ST,MCGRAW ST
14470,14470,0,Not Designated,500,13749,S,N,14471, ,29132,MERCER ST AND YALE AVE N,REPUBLICAN ST AND YALE AVE N,N,15258,N, , ,NON-ART,0,0,N,420.0,"{'paths': [[[-13617761.7013026, 6044383.42305078], [-13617762.6974878, 6044560.14254181], [-13617762.7740798, 6044573.72668011]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",420.294993436391,1,20,INSVC,YALE AVE N,Urban Village Neighborhood Access,AC/PCC, ,0,190.30665303133597,0,NOT DESIGNATED,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,107700050,MERCER ST,REPUBLICAN ST
14478,14478,0,Not Designated,1500,14113,W,E,14479, ,29033,16TH AVE E AND E HARRISON ST,15TH AVE E AND E HARRISON N ST,N,15266,N, , ,NON-ART,18,0,E,317.0,"{'paths': [[[-13615781.0346297, 6044212.51419464], [-13615638.0287867, 6044211.36364804]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",316.817395979377,4,20,INSVC,E HARRISON ST,Neighborhood Yield Street,AC, ,25,143.010471296353,0,NOT DESIGNATED,E HARRISON ST BETWEEN 15TH N AVE E AND 16TH AVE E,110900150,16TH AVE E,15TH N AVE E
14483,14483,1,Principal Arterial,900,14338,SW,NE,14484, ,29773,10TH AVE AND E MADISON ST,BROADWAY CT AND E MADISON ST,Y,15271,N, , ,ART,82,0,NE,150.0,"{'paths': [[[-13616585.1771179, 6042470.86310198], [-13616527.5106598, 6042506.51655977]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",150.09966488453,5,25,INSVC,E MADISON ST,Urban Village Main,AC/PCC, ,48,67.7981522075832,2,MAJOR TRANSIT ROUTE,E MADISON ST BETWEEN BROADWAY CT AND 10TH AVE,112750095,10TH AVE,BROADWAY CT
14491,14491,2,Minor Arterial,1500,14641,W,E,14492, ,30135,16TH AVE AND E PINE ST,15TH AVE AND E PINE ST,N,15279,N, , ,ART,19,0,E,322.0,"{'paths': [[[-13615794.8561961, 6043089.28963166], [-13615649.6515266, 6043087.74321396]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.738554413183,7,25,INSVC,E PINE ST,Urban Village Neighborhood,AC/PCC, ,36,145.212903857917,2,MAJOR TRANSIT ROUTE,E PINE ST BETWEEN 15TH AVE AND 16TH AVE,114800150,16TH AVE,15TH AVE
14507,14507,0,Not Designated,600,15285,W,E,14508,T,27038,FREMONT AVE N AND N 34TH ST,EVANSTON AVE N AND N 34TH ST,N,15295,Y,W, ,NON-ART,47,0,E,393.0,"{'paths': [[[-13620084.7844875, 6048794.37432203], [-13619911.5846907, 6048755.7802183]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",392.84242336186503,2,20,INSVC,N 34TH ST,Urban Village Neighborhood Access,PCC, ,42,177.44766681705002,0,NOT DESIGNATED,N 34TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,119800060,FREMONT AVE N,EVANSTON AVE N
14542,14542,0,Not Designated,1400,16757,W,E,14543, ,27105,15TH AVE NE AND NE 41ST ST,UNIVERSITY WAY NE AND NE 41ST ST,N,15330,N, , ,NON-ART,0,0,E,280.0,"{'paths': [[[-13615848.2629285, 6049952.97984718], [-13615721.8089597, 6049950.56247569]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",280.002878158776,3,20,INSVC,NE 41ST ST,Urban Village Neighborhood Access,AC/PCC, ,0,126.477072605362,0,NOT DESIGNATED,NE 41ST ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,132100140,15TH AVE NE,UNIVERSITY WAY NE
14618,14618,0,Not Designated,3900,19965,W,E,14619, ,33570,42ND AVE S AND S FERDINAND S ST,39TH AVE S AND S FERDINAND ST,N,15406,N, , ,NON-ART,64,0,E,675.0,"{'paths': [[[-13612533.3900518, 6033608.59271186], [-13612233.7109224, 6033607.36169517], [-13612233.6620888, 6033607.3614587], [-13612229.0396918, 6033607.34238005]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",675.079092622942,7,20,INSVC,S FERDINAND ST,Urban Village Neighborhood Access,PCC, ,25,304.352928400875,0,NOT DESIGNATED,S FERDINAND ST BETWEEN 39TH AVE S AND 42ND S AVE S,159050390,42ND S AVE S,39TH AVE S
14630,14630,1,Principal Arterial,1200,20494,W,E,14631, ,30427,BOREN AVE S AND RAINIER AVE S,12TH AVE S AND S JACKSON ST,Y,15418,N, , ,ART,82,79,E,761.0,"{'paths': [[[-13616290.9625669, 6040431.33349864], [-13616077.3798178, 6040433.48256096], [-13615947.476096, 6040434.80426698]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",761.314190448155,1,25,INSVC,S JACKSON ST,Downtown,PCC,PCC,120,343.504006129873,2,MAJOR TRANSIT ROUTE,S JACKSON ST BETWEEN 12TH AVE S AND 14TH AVE S,162850120,14TH AVE S,12TH AVE S
14654,14654,0,Not Designated,200,21492,W,E,14655, ,30492,3RD AVE S AND S WASHINGTON ST,2ND AV ET S AND S WASHINGTON ST,N,15442,N, , ,NON-ART,0,0,E,234.0,"{'paths': [[[-13617848.5468716, 6040710.23851394], [-13617743.154701, 6040710.0114052]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",233.575669550794,2,20,INSVC,S WASHINGTON ST,Downtown Neighborhood Access,AC, ,34,105.39241534055401,3,MINOR TRANSIT ROUTE,S WASHINGTON ST BETWEEN 2ND AV ET S AND 3RD AVE S,171400021,3RD AVE S,2ND AV ET S
14783,14783,0,Not Designated,4700,6460,N,S,14784, ,31918,41ST AVE SW AND SW EDMUNDS ST,41ST AVE SW AND SW ALASKA ST,N,15571,N, , ,NON-ART,84,0,S,638.0,"{'paths': [[[-13623739.8054727, 6034139.7494911], [-13623745.5792019, 6033851.0652292]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",638.465285951861,3,20,INSVC,41ST AVE SW,Urban Village Neighborhood Access,PCC, ,25,288.741993857679,0,NOT DESIGNATED,41ST AVE SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST,033600470,SW EDMUNDS ST,SW ALASKA ST
14797,14797,0,Not Designated,800,8274,SE,NW,14798, ,29944,8TH AVE AND MARION ST,8TH AVE AND COLUMBIA ST,N,15585,N, , ,NON-ART,58,0,NW,306.0,"{'paths': [[[-13617397.8504741, 6041641.30959393], [-13617470.4593474, 6041759.04654893]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",305.851024773373,3,20,INSVC,8TH AVE,Urban Village Neighborhood Access,AC/AC, ,30,138.325843756237,0,NOT DESIGNATED,8TH AVE BETWEEN COLUMBIA ST AND MARION ST,047850080,MARION ST,COLUMBIA ST
14805,14805,0,Not Designated,600,9296,SW,NE,14806,F,29535,7TH AVE AND BLANCHARD ST,6TH AVE AND BLANCHARD ST,N,15593,Y,NE, ,NON-ART,0,0,NE,322.0,"{'paths': [[[-13618928.3667557, 6043195.4126824], [-13618832.6200926, 6043305.22801011]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.239657709718,4,20,INSVC,BLANCHARD ST,Downtown Neighborhood Access,PCC, ,42,145.69430220581,2,MAJOR TRANSIT ROUTE,BLANCHARD ST BETWEEN 6TH AVE AND 7TH AVE,055450060,7TH AVE,6TH AVE
14849,14849,1,Principal Arterial,0,23582,E,W,14850, ,28632,1ST AVE W AND W MERCER ST,MERCER ST AND QUEEN ANNE AVE N,Y,14443,N, , ,ART,25,15,W,322.0,"{'paths': [[[-13620686.5656037, 6044624.52600309], [-13620832.0032872, 6044625.2885833]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.183487529341,4,25,INSVC,W MERCER ST,Urban Village Main,AC/PCC,AC/PCC,98,145.439682724709,2,MAJOR TRANSIT ROUTE,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,189200009,1ST AVE W,QUEEN ANNE AVE N
14866,14866,1,Principal Arterial,1100,334269,SW,NE,14867, ,334266,EASTLAKE AVE E AND E NELSON PL,EASTLAKE AVE E AND PROSPECT ST,Y,14460,N, , ,ART,48,82,NE,836.0,"{'paths': [[[-13617630.460157, 6045295.72339506], [-13617630.8112475, 6045357.83527647], [-13617451.2070071, 6045617.84099293]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",835.679701093092,2,30,INSVC,EASTLAKE AVE E,Urban Village Main,AC/PCC,PCC,64,378.120240278385,2,MAJOR TRANSIT ROUTE,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,065100110,E NELSON PL,PROSPECT ST
14888,14888,2,Minor Arterial,2900,1021,SE,NW,14889, ,29665,1ST AVE AND EAGLE ST,1ST AVE AND BROAD ST,N,14482,N, , ,ART,47,0,NW,433.0,"{'paths': [[[-13620218.7253602, 6043358.68175418], [-13620366.1365459, 6043487.670307]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",433.402549041641,2,25,INSVC,1ST AVE,Downtown Neighborhood,AC/PCC, ,52,195.877779330642,1,PRINCIPAL TRANSIT ROUTE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,000100290,EAGLE ST,BROAD ST
14891,14891,2,Minor Arterial,400,1188,N,S,14892, ,30365,1ST AVE S AND S KING ST,1ST AVE S AND S JACKSON ST,N,14485,N, , ,ART,44,100,S,333.0,"{'paths': [[[-13618179.5182793, 6040433.93625957], [-13618179.8229105, 6040311.3523708], [-13618179.843225, 6040303.02799817], [-13618179.8624201, 6040295.41840942], [-13618179.8666514, 6040283.19543936]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",333.07288593514596,2,25,INSVC,1ST AVE S,Downtown Neighborhood,AC/PCC, ,44,150.741248461803,1,PRINCIPAL TRANSIT ROUTE,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,000300040,S KING ST,S JACKSON ST
14908,14908,2,Minor Arterial,300,2005,S,N,14909, ,29035,15TH AVE E AND E HARRISON S ST,15TH AVE E AND E THOMAS N ST,N,14502,N, , ,ART,18,0,N,296.0,"{'paths': [[[-13615784.3142739, 6044054.97529857], [-13615783.2121644, 6044101.43321121], [-13615781.2818826, 6044189.08197302]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",296.26498602488704,1,25,INSVC,15TH AVE E,Urban Village Neighborhood,AC/PCC, ,40,134.140997790227,3,MINOR TRANSIT ROUTE,15TH AVE E BETWEEN E THOMAS N ST AND E HARRISON S ST,005500031,E HARRISON S ST,E THOMAS N ST
14917,14917,0,Not Designated,300,2359,S,N,14918, ,30206,17TH AVE AND E JEFFERSON ST,17TH AVE AND E ALDER ST,N,14511,N, , ,NON-ART,16,0,N,672.0,"{'paths': [[[-13615510.8881206, 6041280.59165161], [-13615514.6568805, 6041584.78627207]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",672.106770791511,4,20,INSVC,17TH AVE,Neighborhood Yield Street,AC, ,24,304.21796572387,0,NOT DESIGNATED,17TH AVE BETWEEN E ALDER ST AND E JEFFERSON ST,007600030,E JEFFERSON ST,E ALDER ST
14927,14927,1,Principal Arterial,2900,2770,SE,NW,14928,T,29666,2ND AVE AND 2ND WR AVE,2ND AVE AND BROAD ST,N,14521,Y,SE, ,ART,86,0,NW,358.0,"{'paths': [[[-13620122.923181, 6043468.54109295], [-13620171.4350886, 6043511.09611868], [-13620244.3595787, 6043575.06624043]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",357.41551228347396,1,25,INSVC,2ND AVE,Downtown,AC/PCC, ,54,161.537629416002,2,MAJOR TRANSIT ROUTE,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,009550290,2ND WR AVE,BROAD ST
14929,14929,0,Not Designated,500,2902,S,N,14930, ,28644,2ND AVE W AND W MERCER ST,2ND AVE W AND W REPUBLICAN ST,N,14523,N, , ,NON-ART,0,0,N,477.0,"{'paths': [[[-13620978.5401884, 6044410.26380106], [-13620978.5278465, 6044412.52748315], [-13620977.3588106, 6044626.04846677]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",476.568510216305,4,20,INSVC,2ND AVE W,Urban Village Neighborhood Access,PCC, ,0,215.787899586284,0,NOT DESIGNATED,2ND AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,009850050,W MERCER ST,W REPUBLICAN ST
15006,15006,1,Principal Arterial,800,6124,SE,NW,15007,F,29966,4TH AVE AND MARION ST,4TH AVE AND COLUMBIA ST,Y,14600,Y,NW, ,ART,78,0,NW,306.0,"{'paths': [[[-13617891.8995468, 6041334.81219748], [-13617964.507371, 6041452.479803]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",305.730375483204,4,25,INSVC,4TH AVE,Downtown,PCC, ,50,138.26627036569,1,PRINCIPAL TRANSIT ROUTE,4TH AVE BETWEEN COLUMBIA ST AND MARION ST,031300080,MARION ST,COLUMBIA ST
15054,15054,2,Minor Arterial,1400,8157,SE,NW,15055, ,29911,7TH AVE AND PIKE ST,7TH AVE AND UNION ST,N,14648,N, , ,ART,87,0,NW,425.0,"{'paths': [[[-13617985.6767568, 6042317.66008841], [-13617998.6948478, 6042338.78448099], [-13618086.6528668, 6042481.49484692]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.495407526378,3,25,INSVC,7TH AVE,Downtown Neighborhood,AC/PCC, ,42,192.452599087767,3,MINOR TRANSIT ROUTE,7TH AVE BETWEEN UNION ST AND PIKE ST,047050140,PIKE ST,UNION ST
15057,15057,2,Minor Arterial,2100,8285,SE,NW,15058, ,29528,8TH AVE AND BLANCHARD ST,LENORA ST AND WESTLAKE AVE,N,14651,N, , ,ART,66,0,NW,426.0,"{'paths': [[[-13618592.0234877, 6043287.97921043], [-13618736.9252076, 6043414.9500883]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.28684333014604,0,25,INSVC,8TH AVE,Downtown Neighborhood,PCC, ,56,192.660614192654,3,MINOR TRANSIT ROUTE,8TH AVE BETWEEN WESTLAKE AVE AND BLANCHARD ST,047850210,BLANCHARD ST,WESTLAKE AVE
15063,15063,1,Principal Arterial,500,8533,S,N,15064, ,28773,9TH AVE N AND MERCER SR ST,9TH AVE N AND REPUBLICAN ST,Y,14657,N, , ,ART,57,0,N,485.0,"{'paths': [[[-13618798.8152941, 6044398.4318904], [-13618797.6258016, 6044618.11476399]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",485.178242812824,2,25,INSVC,9TH AVE N,Urban Village Main,AC/PCC, ,44,219.686093875547,3,MINOR TRANSIT ROUTE,9TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,048950050,MERCER SR ST,REPUBLICAN ST
15079,15079,0,Not Designated,300,9200,SW,NE,15080,T,29689,4TH AVE AND BELL ST,3RD AVE AND BELL ST,N,14673,Y,SW, ,NON-ART,0,0,NE,322.0,"{'paths': [[[-13619360.1158028, 6042993.10629652], [-13619264.4804469, 6043102.81115322]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.901187333428,0,20,INSVC,BELL ST,Downtown Neighborhood Access,AC/PCC, ,0,145.53788815075,0,NOT DESIGNATED,BELL ST BETWEEN 3RD AVE AND 4TH AVE,054250030,4TH AVE,3RD AVE
